Déplacement en Z corrigé (µm)	Effort normal (mN)
0,174963	0,000433
0,174963	0,000433
0,174963	0,011249
0,174963	-0,032016
0,174963	-0,010383
0,181561	-0,0212
0,181561	-0,0212
0,178262	-0,032016
0,18486	-0,010383
0,174963	-0,010383
0,174963	0,011249
0,174963	0,000433
0,171664	0,022065
0,174963	0,000433
0,171664	0,011249
0,168366	0,032881
0,165067	0,000433
0,171664	0,022065
0,168366	0,011249
0,174963	0,011249
0,178262	0,022065
0,174963	0,000433
0,178262	-0,0212
0,18486	-0,042832
0,174963	-0,0212
0,18486	-0,032016
0,178262	-0,0212
0,181561	-0,0212
0,181561	-0,0212
0,174963	0,000433
0,174963	0,011249
0,178262	-0,010383
0,174963	0,000433
0,178262	0,011249
0,174963	0,043697
0,168366	0,022065
0,165067	0,011249
0,161768	-0,010383
0,168366	0,000433
0,171664	0,000433
0,174963	0,000433
0,174963	-0,010383
0,171664	-0,010383
0,18486	-0,010383
0,178262	0,000433
0,181561	-0,0212
0,181561	-0,0212
0,18486	-0,0212
0,178262	-0,0212
0,178262	-0,010383
0,171664	-0,010383
0,174963	0,000433
0,168366	0,011249
0,174963	0,000433
0,171664	0,011249
0,165067	0,022065
0,174963	0,032881
0,168366	0,011249
0,171664	0,011249
0,171664	0,011249
0,168366	-0,010383
0,174963	-0,010383
0,181561	-0,0212
0,188159	-0,0212
0,181561	-0,010383
0,18486	-0,042832
0,181561	-0,0212
0,181561	-0,0212
0,181561	-0,010383
0,174963	-0,0212
0,171664	0,011249
0,178262	0,000433
0,174963	0,011249
0,171664	0,000433
0,161768	0,000433
0,168366	0,011249
0,171664	0,011249
0,178262	0,000433
0,174963	0,032881
0,174963	-0,010383
0,174963	-0,010383
0,178262	0,000433
0,178262	-0,0212
0,178262	-0,0212
0,174963	0,000433
0,181561	-0,032016
0,181561	-0,0212
0,181561	-0,0212
0,181561	-0,0212
0,178262	-0,0212
0,178262	0,000433
0,174963	-0,010383
0,171664	-0,010383
0,174963	0,011249
0,171664	0,032881
0,168366	0,011249
0,165067	0,032881
0,171664	0,000433
0,171664	0,022065
0,171664	0,011249
0,178262	0,000433
0,178262	-0,010383
0,181561	-0,010383
0,181561	-0,0212
0,178262	-0,0212
0,188159	-0,0212
0,181561	-0,010383
0,181561	-0,0212
0,178262	-0,0212
0,181561	-0,010383
0,171664	0,000433
0,174963	-0,010383
0,171664	0,000433
0,174963	-0,010383
0,174963	0,000433
0,171664	0,011249
0,171664	0,043697
0,174963	0,000433
0,165067	0,000433
0,178262	0,000433
0,178262	0,011249
0,174963	-0,010383
0,181561	-0,010383
0,181561	-0,0212
0,174963	-0,032016
0,18486	-0,042832
0,181561	-0,0212
0,181561	-0,032016
0,181561	-0,0212
0,181561	-0,0212
0,174963	-0,010383
0,178262	-0,010383
0,178262	0,000433
0,171664	0,000433
0,165067	0,011249
0,171664	0,000433
0,165067	0,011249
0,174963	0,000433
0,168366	0,032881
0,171664	0,022065
0,174963	0,000433
0,178262	-0,0212
0,178262	-0,010383
0,181561	-0,010383
0,181561	-0,032016
