Déplacement en Z corrigé (µm)	Effort normal (mN)						
0,202161	-0,029853						
0,202161	-0,029853						
0,202161	-0,029853						
0,202161	-0,019036						
0,195563	-0,00822						
0,198862	-0,00822						
0,198862	0,002596						
0,198862	0,013412						
0,195563	0,002596						
0,198862	0,013412						
0,192264	0,002596						
0,198862	0,002596						
0,202161	-0,00822						
0,198862	-0,00822						
0,202161	-0,029853						
0,202161	-0,029853						
0,202161	-0,029853						
0,202161	-0,019036						
0,202161	-0,029853						
0,20546	-0,029853						
0,212058	-0,029853						
0,20546	-0,019036						
0,20546	0,002596						
0,202161	-0,019036						
0,202161	0,002596						
0,198862	0,002596						
0,198862	0,013412						
0,192264	-0,00822						
0,198862	0,013412						
0,192264	0,013412						
0,192264	-0,00822						
0,198862	0,002596						
0,202161	0,002596						
0,208759	-0,00822						
0,20546	-0,00822						
0,208759	0,002596						
0,20546	-0,00822						
0,212058	-0,019036						
0,202161	-0,029853						
0,202161	-0,00822						
0,208759	-0,029853						
0,208759	-0,00822						
0,208759	-0,029853						
0,20546	-0,019036						
0,202161	-0,00822						
0,202161	-0,019036						
0,198862	-0,00822						
0,195563	0,002596						
0,198862	0,002596						
0,195563	-0,019036						
0,198862	0,002596						
0,198862	-0,00822						
0,202161	-0,029853						
0,202161	-0,019036						
0,208759	-0,019036						
0,208759	-0,019036						
0,208759	-0,00822						
0,20546	-0,019036						
0,208759	-0,029853						
0,208759	-0,029853						
0,208759	0,002596						
0,20546	-0,019036						
0,198862	0,002596						
0,20546	0,002596						
0,198862	0,002596						
0,198862	-0,019036						
0,195563	0,013412						
0,202161	0,002596						
0,195563	0,002596						
0,195563	0,013412						
0,202161	0,013412						
0,198862	0,002596						
0,198862	-0,00822						
0,202161	0,013412						
0,202161	0,002596						
0,198862	-0,00822						
0,202161	-0,00822						
0,20546	-0,00822						
0,208759	-0,00822						
0,202161	-0,019036						
0,208759	-0,019036						
0,202161	-0,00822						
0,208759	-0,019036						
0,20546	-0,029853						
0,202161	-0,00822						
0,20546	0,002596						
0,202161	0,002596						
0,198862	0,002596						
0,198862	0,013412						
0,20546	0,013412						
0,198862	0,002596						
0,202161	0,013412						
0,208759	-0,00822						
0,20546	0,002596						
0,20546	0,002596						
0,20546	-0,00822						
0,202161	0,002596						
0,20546	-0,00822						
0,208759	0,002596						
0,208759	-0,00822						
0,198862	-0,00822						
0,20546	-0,019036						
0,198862	-0,019036						
0,198862	-0,019036						
0,198862	0,002596						
0,20546	0,002596						
0,195563	0,002596						
0,198862	0,002596						
0,198862	0,035044						
0,195563	0,002596						
0,195563	0,002596						
0,198862	0,013412						
0,202161	0,002596						
0,195563	0,002596						
0,198862	0,002596						
0,202161	-0,029853						
0,202161	-0,019036						
0,202161	-0,00822						
0,202161	0,002596						
0,20546	0,002596						
0,20546	-0,019036						
0,202161	-0,019036						
0,20546	0,002596						
0,208759	0,002596						
0,202161	0,002596						
0,198862	-0,00822						
0,198862	0,013412						
0,198862	0,013412						
0,195563	0,035044						
0,195563	0,024228						
0,198862	0,002596						
0,195563	0,002596						
0,202161	0,002596						
0,198862	0,002596						
0,198862	0,002596						
0,202161	0,002596						
0,198862	-0,019036						
0,202161	-0,00822						
0,198862	-0,029853						
0,202161	-0,040669						
0,202161	-0,029853						
0,20546	-0,019036						
0,20546	0,002596						
0,20546	0,002596						
0,198862	0,002596						
0,198862	0,002596						
0,198862	0,013412						
0,198862	0,002596						
0,188965	0,013412						
0,198862	0,002596						
0,198862	0,024228						
0,195563	0,002596						
0,198862	0,002596						
0,198862	-0,00822						
0,198862	-0,00822						
0,208759	-0,019036						
0,20546	-0,019036						
0,202161	-0,019036						
0,198862	-0,019036						
0,198862	-0,029853						
0,20546	-0,00822						
0,20546	-0,029853						
0,198862	-0,019036						
0,198862	-0,00822						
0,198862	-0,019036						
0,202161	0,002596						
0,195563	-0,019036						
0,195563	0,002596						
0,188965	0,002596						
0,192264	0,002596						
0,198862	0,002596						
0,198862	-0,00822						
0,198862	0,002596						
0,198862	-0,00822						
0,198862	-0,00822						
0,198862	-0,00822						
0,20546	-0,00822						
0,202161	0,002596						
0,208759	-0,00822						
0,212058	-0,029853						
0,208759	-0,019036						
0,20546	-0,019036						
0,198862	-0,019036						
0,198862	-0,019036						
0,198862	-0,00822						
0,198862	-0,019036						
0,195563	-0,00822						
0,198862	-0,00822						
0,195563	0,002596						
0,198862	0,002596						
0,192264	-0,00822						
0,198862	0,013412						
0,198862	0,002596						
0,202161	-0,00822						
0,202161	0,002596						
0,20546	-0,019036						
0,20546	-0,00822						
0,20546	-0,029853						
0,20546	-0,029853						
0,208759	-0,019036						
0,202161	-0,00822						
0,208759	-0,051485						
0,20546	-0,019036						
0,202161	-0,029853						
0,20546	-0,029853						
0,198862	0,002596						
0,20546	-0,019036						
0,198862	0,013412						
0,198862	-0,00822						
0,198862	0,013412						
0,198862	0,002596						
0,202161	0,002596						
0,198862	0,013412						
0,202161	-0,00822						
0,202161	-0,019036						
0,202161	-0,00822						
0,202161	-0,00822						
0,198862	-0,019036						
0,202161	-0,019036						
0,208759	-0,019036						
0,20546	-0,00822						
0,20546	-0,029853						
0,20546	-0,029853						
0,20546	-0,00822						
0,202161	0,013412						
0,20546	0,002596						
0,202161	0,002596						
0,202161	0,002596						
0,198862	0,002596						
0,198862	0,024228						
0,202161	0,013412						
0,195563	0,024228						
0,198862	0,013412						
0,202161	0,002596						
0,198862	-0,00822						
0,20546	0,013412						
0,202161	-0,029853						
0,208759	-0,019036						
0,208759	-0,029853						
0,20546	-0,029853						
0,202161	-0,029853						
0,215357	-0,019036						
0,20546	-0,00822						
0,208759	-0,00822						
0,208759	0,002596						
0,198862	0,002596						
0,20546	0,024228						
0,195563	0,024228						
0,202161	0,024228						
0,195563	0,04586						
0,198862	0,024228						
0,198862	0,035044						
0,195563	0,024228						
0,202161	0,035044						
0,20546	0,013412						
0,202161	0,013412						
0,202161	0,035044						
0,20546	0,013412						
0,20546	0,013412						
0,20546	0,013412						
0,202161	0,002596						
0,208759	0,002596						
0,208759	0,002596						
0,202161	0,013412						
0,195563	0,013412						
0,198862	0,024228						
0,205729	0,013412						
0,205729	0,024228						
0,212595	0,013412						
0,21973	0,024228						
0,236763	0,002596						
0,267797	0,013412						
0,305428	0,002596						
0,356793	0,013412						
0,415025	0,024228						
0,470226	0,013412						
0,558954	0,013412						
