Déplacement en Z corrigé (µm)	Effort normal (mN)
0,096132	0,026824
0,096132	-0,005624
0,096132	0,005192
0,096132	-0,005624
0,099431	0,005192
0,099431	-0,005624
0,096132	-0,016441
0,10273	-0,016441
0,10273	-0,016441
0,10273	-0,005624
0,106029	-0,016441
0,106029	-0,027257
0,10273	-0,005624
0,099431	-0,016441
0,106029	-0,005624
0,10273	-0,005624
0,096132	0,026824
0,096132	0,026824
0,096132	-0,005624
0,099431	0,016008
0,096132	-0,005624
0,092833	0,016008
0,092833	0,016008
0,099431	0,016008
0,10273	0,016008
0,096132	0,026824
0,106029	0,005192
0,106029	0,005192
0,112627	-0,016441
0,106029	-0,016441
0,109328	-0,016441
0,109328	-0,016441
0,099431	-0,027257
0,106029	-0,038073
0,10273	0,016008
0,10273	0,005192
0,106029	-0,005624
0,096132	0,005192
0,096132	0,016008
0,092833	-0,005624
0,089534	0,026824
0,099431	0,005192
0,096132	0,016008
0,099431	0,026824
0,096132	0,005192
0,099431	0,016008
0,10273	-0,005624
0,10273	0,016008
0,10273	-0,016441
0,099431	-0,005624
0,10273	-0,027257
0,106029	-0,005624
0,099431	0,016008
0,10273	0,005192
0,099431	-0,016441
0,099431	-0,005624
0,089534	0,005192
0,089534	0,005192
0,099431	0,016008
0,092833	0,016008
0,099431	0,005192
0,092833	0,016008
0,092833	0,005192
0,092833	0,016008
0,092833	0,03764
0,089534	0,005192
0,096132	0,005192
0,096132	-0,005624
0,10273	0,016008
0,10273	-0,016441
0,10273	-0,038073
0,10273	-0,027257
0,106029	-0,016441
0,109328	-0,005624
0,092833	-0,005624
0,096132	0,005192
0,099431	0,026824
0,096132	-0,005624
0,092833	0,005192
0,099431	0,026824
0,089534	0,005192
0,096132	0,026824
0,092833	0,026824
0,089534	0,016008
0,096132	0,005192
0,092833	0,005192
0,099431	-0,027257
0,092833	-0,016441
0,10273	0,005192
0,099431	-0,016441
0,106029	-0,005624
0,099431	-0,016441
0,092833	-0,016441
0,096132	-0,027257
0,10273	-0,005624
0,099431	0,005192
0,096132	-0,016441
0,096132	0,016008
0,092833	0,005192
0,092833	0,005192
0,096132	0,005192
0,092833	0,03764
0,096132	-0,005624
0,092833	0,005192
0,086235	-0,016441
