Etude: Indentation_Silicone_Rouge_talc_1_1	27/11/2012 18:59:38

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.281479	0.001929	0.000000
0.332453	-0.001502	0.001000
0.280319	0.003644	0.002000
0.328972	0.003644	0.003000
0.330132	0.001929	0.004000
0.330132	0.001929	0.005000
0.327811	0.005359	0.006000
0.279158	0.005359	0.007000
0.328972	0.003644	0.008000
0.327811	0.005359	0.009000
0.279158	0.005359	0.010000
0.332453	-0.001502	0.011000
0.281479	0.001929	0.012000
0.279158	0.005359	0.013000
0.332453	-0.001502	0.014000
0.381107	-0.001502	0.015000
0.276837	0.008789	0.016000
0.328972	0.003644	0.017000
0.374144	0.008789	0.018000
0.381107	-0.001502	0.019000
0.327811	0.005359	0.020000
0.279158	0.005359	0.021000
0.330132	0.001929	0.022000
0.378786	0.001929	0.023000
0.328972	0.003644	0.024000
0.280319	0.003644	0.025000
0.376465	0.005359	0.026000
0.328972	0.003644	0.027000
0.330132	0.001929	0.028000
0.332453	-0.001502	0.029000
0.381107	-0.001502	0.030000
0.279158	0.005359	0.031000
0.328972	0.003644	0.032000
0.327811	0.005359	0.033000
0.326651	0.007074	0.034000
0.279158	0.005359	0.035000
0.328972	0.003644	0.036000
0.328972	0.003644	0.037000
0.277998	0.007074	0.038000
0.332453	-0.001502	0.039000
0.327811	0.005359	0.040000
0.280319	0.003644	0.041000
0.279158	0.005359	0.042000
0.332453	-0.001502	0.043000
0.328972	0.003644	0.044000
0.325490	0.008789	0.045000
0.279158	0.005359	0.046000
0.327811	0.005359	0.047000
0.283800	-0.001502	0.048000
0.328972	0.003644	0.049000
0.375304	0.007074	0.050000
0.327811	0.005359	0.051000
0.381107	-0.001502	0.052000
0.279158	0.005359	0.053000
0.328972	0.003644	0.054000
0.328972	0.003644	0.055000
0.327811	0.005359	0.056000
0.328972	0.003644	0.057000
0.328972	0.003644	0.058000
0.328972	0.003644	0.059000
0.328972	0.003644	0.060000
0.332453	-0.001502	0.061000
0.279158	0.005359	0.062000
0.381107	-0.001502	0.063000
0.281479	0.001929	0.064000
0.332453	-0.001502	0.065000
0.279158	0.005359	0.066000
0.235147	-0.001502	0.067000
0.279158	0.005359	0.068000
0.332453	-0.001502	0.069000
0.332453	-0.001502	0.070000
0.381107	-0.001502	0.071000
0.332453	-0.001502	0.072000
0.283800	-0.001502	0.073000
0.381107	-0.001502	0.074000
0.283800	-0.001502	0.075000
0.283800	-0.001502	0.076000
0.330132	0.001929	0.077000
0.332453	-0.001502	0.078000
0.235147	-0.001502	0.079000
0.283800	-0.001502	0.080000
0.332453	-0.001502	0.081000
0.332453	-0.001502	0.082000
0.332453	-0.001502	0.083000
0.332453	-0.001502	0.084000
0.327811	0.005359	0.085000
0.283800	-0.001502	0.086000
0.283800	-0.001502	0.087000
0.381107	-0.001502	0.088000
0.283800	-0.001502	0.089000
0.376465	0.005359	0.090000
0.281479	0.001929	0.091000
0.332453	-0.001502	0.092000
0.281479	0.001929	0.093000
0.332453	-0.001502	0.094000
0.279158	0.005359	0.095000
0.332453	-0.001502	0.096000
0.332453	-0.001502	0.097000
0.279158	0.005359	0.098000
0.283800	-0.001502	0.099000
0.283800	-0.001502	0.100000
0.280319	0.003644	0.101000
0.280319	0.003644	0.102000
0.332453	-0.001502	0.103000
0.377625	0.003644	0.104000
0.279158	0.005359	0.105000
0.280319	0.003644	0.106000
0.280319	0.003644	0.107000
0.281479	0.001929	0.108000
0.327811	0.005359	0.109000
0.332453	-0.001502	0.110000
0.332453	-0.001502	0.111000
0.280319	0.003644	0.112000
0.283800	-0.001502	0.113000
0.332453	-0.001502	0.114000
0.281479	0.001929	0.115000
0.283800	-0.001502	0.116000
0.330132	0.001929	0.117000
0.283800	-0.001502	0.118000
0.327811	0.005359	0.119000
0.235147	-0.001502	0.120000
0.280319	0.003644	0.121000
0.283800	-0.001502	0.122000
0.283800	-0.001502	0.123000
0.332453	-0.001502	0.124000
0.283800	-0.001502	0.125000
0.328972	0.003644	0.126000
0.283800	-0.001502	0.127000
0.332453	-0.001502	0.128000
0.283800	-0.001502	0.129000
0.279158	0.005359	0.130000
0.332453	-0.001502	0.131000
0.332453	-0.001502	0.132000
0.376465	0.005359	0.133000
0.332453	-0.001502	0.134000
0.330132	0.001929	0.135000
0.332453	-0.001502	0.136000
0.332453	-0.001502	0.137000
0.332453	-0.001502	0.138000
0.332453	-0.001502	0.139000
0.328972	0.003644	0.140000
0.332453	-0.001502	0.141000
0.377625	0.003644	0.142000
0.332453	-0.001502	0.143000
0.283800	-0.001502	0.144000
0.283800	-0.001502	0.145000
0.281479	0.001929	0.146000
0.283800	-0.001502	0.147000
0.377625	0.003644	0.148000
0.280319	0.003644	0.149000
0.330132	0.001929	0.150000
0.283800	-0.001502	0.151000
0.334774	-0.004932	0.152000
0.328972	0.003644	0.153000
0.332453	-0.001502	0.154000
0.328972	0.003644	0.155000
0.332453	-0.001502	0.156000
0.280319	0.003644	0.157000
0.381107	-0.001502	0.158000
0.283800	-0.001502	0.159000
0.279158	0.005359	0.160000
0.283800	-0.001502	0.161000
0.283800	-0.001502	0.162000
0.381107	-0.001502	0.163000
0.283800	-0.001502	0.164000
0.377625	0.003644	0.165000
0.327811	0.005359	0.166000
0.328972	0.003644	0.167000
0.327811	0.005359	0.168000
0.332453	-0.001502	0.169000
0.332453	-0.001502	0.170000
0.332453	-0.001502	0.171000
0.332453	-0.001502	0.172000
0.332453	-0.001502	0.173000
0.281479	0.001929	0.174000
0.376465	0.005359	0.175000
0.281479	0.001929	0.176000
0.283800	-0.001502	0.177000
0.327811	0.005359	0.178000
0.279158	0.005359	0.179000
0.327811	0.005359	0.180000
0.332453	-0.001502	0.181000
0.332453	-0.001502	0.182000
0.330132	0.001929	0.183000
0.283800	-0.001502	0.184000
0.332453	-0.001502	0.185000
0.332453	-0.001502	0.186000
0.235147	-0.001502	0.187000
0.332453	-0.001502	0.188000
0.330132	0.001929	0.189000
0.376465	0.005359	0.190000
0.279158	0.005359	0.191000
0.330132	0.001929	0.192000
0.328972	0.003644	0.193000
0.332453	-0.001502	0.194000
0.283800	-0.001502	0.195000
0.376465	0.005359	0.196000
0.283800	-0.001502	0.197000
0.381107	-0.001502	0.198000
0.332453	-0.001502	0.199000
0.332453	-0.001502	0.200000
0.283800	-0.001502	0.201000
0.381107	-0.001502	0.202000
0.330132	0.001929	0.203000
0.283800	-0.001502	0.204000
0.283800	-0.001502	0.205000
0.332453	-0.001502	0.206000
0.330132	0.001929	0.207000
0.332453	-0.001502	0.208000
0.283800	-0.001502	0.209000
0.283800	-0.001502	0.210000
0.332453	-0.001502	0.211000
0.332453	-0.001502	0.212000
0.283800	-0.001502	0.213000
0.283800	-0.001502	0.214000
0.280319	0.003644	0.215000
0.280319	0.003644	0.216000
0.283800	-0.001502	0.217000
0.381107	-0.001502	0.218000
0.332453	-0.001502	0.219000
0.283800	-0.001502	0.220000
0.235147	-0.001502	0.221000
0.332453	-0.001502	0.222000
0.283800	-0.001502	0.223000
0.332453	-0.001502	0.224000
0.283800	-0.001502	0.225000
0.280319	0.003644	0.226000
0.378786	0.001929	0.227000
0.280319	0.003644	0.228000
0.381107	-0.001502	0.229000
0.381107	-0.001502	0.230000
0.332453	-0.001502	0.231000
0.332453	-0.001502	0.232000
0.283800	-0.001502	0.233000
0.332453	-0.001502	0.234000
0.283800	-0.001502	0.235000
0.332453	-0.001502	0.236000
0.381107	-0.001502	0.237000
0.283800	-0.001502	0.238000
0.381107	-0.001502	0.239000
0.381107	-0.001502	0.240000
0.332453	-0.001502	0.241000
0.332453	-0.001502	0.242000
0.280319	0.003644	0.243000
0.281479	0.001929	0.244000
0.283800	-0.001502	0.245000
0.333614	-0.003217	0.246000
0.328972	0.003644	0.247000
0.283800	-0.001502	0.248000
0.283800	-0.001502	0.249000
0.283800	-0.001502	0.250000
0.283800	-0.001502	0.251000
0.330132	0.001929	0.252000
0.332453	-0.001502	0.253000
0.332453	-0.001502	0.254000
0.381107	-0.001502	0.255000
0.332453	-0.001502	0.256000
0.332453	-0.001502	0.257000
0.327811	0.005359	0.258000
0.327811	0.005359	0.259000
0.281479	0.001929	0.260000
0.327811	0.005359	0.261000
0.280319	0.003644	0.262000
0.280319	0.003644	0.263000
0.328972	0.003644	0.264000
0.328972	0.003644	0.265000
0.332453	-0.001502	0.266000
0.280319	0.003644	0.267000
0.328972	0.003644	0.268000
0.283800	-0.001502	0.269000
0.330132	0.001929	0.270000
0.279158	0.005359	0.271000
0.330132	0.001929	0.272000
0.381107	-0.001502	0.273000
0.327811	0.005359	0.274000
0.332453	-0.001502	0.275000
0.328972	0.003644	0.276000
0.283800	-0.001502	0.277000
0.332453	-0.001502	0.278000
0.377625	0.003644	0.279000
0.328972	0.003644	0.280000
0.332453	-0.001502	0.281000
0.280319	0.003644	0.282000
0.283800	-0.001502	0.283000
0.332453	-0.001502	0.284000
0.330132	0.001929	0.285000
0.327811	0.005359	0.286000
0.281479	0.001929	0.287000
0.283800	-0.001502	0.288000
0.376465	0.005359	0.289000
0.330132	0.001929	0.290000
0.281479	0.001929	0.291000
0.330132	0.001929	0.292000
0.283800	-0.001502	0.293000
0.279158	0.005359	0.294000
0.279158	0.005359	0.295000
0.332453	-0.001502	0.296000
0.332453	-0.001502	0.297000
0.378786	0.001929	0.298000
0.332453	-0.001502	0.299000
0.328972	0.003644	0.300000
0.283800	-0.001502	0.301000
0.283800	-0.001502	0.302000
0.280319	0.003644	0.303000
0.332453	-0.001502	0.304000
0.327811	0.005359	0.305000
0.376465	0.005359	0.306000
0.283800	-0.001502	0.307000
0.377625	0.003644	0.308000
0.327811	0.005359	0.309000
0.332453	-0.001502	0.310000
0.332453	-0.001502	0.311000
0.328972	0.003644	0.312000
0.279158	0.005359	0.313000
0.377625	0.003644	0.314000
0.429760	-0.001502	0.315000
0.283800	-0.001502	0.316000
0.332453	-0.001502	0.317000
0.283800	-0.001502	0.318000
0.378786	0.001929	0.319000
0.283800	-0.001502	0.320000
