Etude: Indentation_Silicone_Vert_talc_1_1	27/11/2012 18:44:25

Conditions de l'essai:
Type d'indenteur:Sphère	Rayon (mm) :1.590000	Angle (°) :1.590000
Contact:
Seuil de détection (mN): 0.020000	Distance de retrait (µm): 100.000000
Type de test: Deplacement imposé 
Enfoncement (µm): 100.000000
Vitesse de rampe (µm/s): 25.000000	Temps de relaxation (s): 0.000000

Déplacement en Z corrigé (µm):	Effort normal (mN):	Temps (s):	Déflection du capteur (µm):	Déplacement de la table (µm):
0.286293	-0.005186	0.000000
0.282811	-0.000040	0.001000
0.334946	-0.005186	0.002000
0.237640	-0.005186	0.003000
0.334946	-0.005186	0.004000
0.282811	-0.000040	0.005000
0.380118	-0.000040	0.006000
0.334946	-0.005186	0.007000
0.237640	-0.005186	0.008000
0.286293	-0.005186	0.009000
0.334946	-0.005186	0.010000
0.334946	-0.005186	0.011000
0.334946	-0.005186	0.012000
0.383599	-0.005186	0.013000
0.383599	-0.005186	0.014000
0.286293	-0.005186	0.015000
0.286293	-0.005186	0.016000
0.334946	-0.005186	0.017000
0.334946	-0.005186	0.018000
0.383599	-0.005186	0.019000
0.282811	-0.000040	0.020000
0.286293	-0.005186	0.021000
0.331465	-0.000040	0.022000
0.334946	-0.005186	0.023000
0.286293	-0.005186	0.024000
0.383599	-0.005186	0.025000
0.330304	0.001675	0.026000
0.334946	-0.005186	0.027000
0.334946	-0.005186	0.028000
0.286293	-0.005186	0.029000
0.282811	-0.000040	0.030000
0.287453	-0.006901	0.031000
0.286293	-0.005186	0.032000
0.334946	-0.005186	0.033000
0.334946	-0.005186	0.034000
0.332625	-0.001755	0.035000
0.331465	-0.000040	0.036000
0.282811	-0.000040	0.037000
0.334946	-0.005186	0.038000
0.286293	-0.005186	0.039000
0.334946	-0.005186	0.040000
0.286293	-0.005186	0.041000
0.336107	-0.006901	0.042000
0.286293	-0.005186	0.043000
0.334946	-0.005186	0.044000
0.286293	-0.005186	0.045000
0.334946	-0.005186	0.046000
0.282811	-0.000040	0.047000
0.330304	0.001675	0.048000
0.334946	-0.005186	0.049000
0.286293	-0.005186	0.050000
0.334946	-0.005186	0.051000
0.334946	-0.005186	0.052000
0.334946	-0.005186	0.053000
0.281651	0.001675	0.054000
0.334946	-0.005186	0.055000
0.237640	-0.005186	0.056000
0.334946	-0.005186	0.057000
0.334946	-0.005186	0.058000
0.286293	-0.005186	0.059000
0.380118	-0.000040	0.060000
0.237640	-0.005186	0.061000
0.334946	-0.005186	0.062000
0.286293	-0.005186	0.063000
0.286293	-0.005186	0.064000
0.334946	-0.005186	0.065000
0.286293	-0.005186	0.066000
0.334946	-0.005186	0.067000
0.286293	-0.005186	0.068000
0.339588	-0.012046	0.069000
0.334946	-0.005186	0.070000
0.286293	-0.005186	0.071000
0.286293	-0.005186	0.072000
0.286293	-0.005186	0.073000
0.286293	-0.005186	0.074000
0.286293	-0.005186	0.075000
0.330304	0.001675	0.076000
0.334946	-0.005186	0.077000
0.334946	-0.005186	0.078000
0.334946	-0.005186	0.079000
0.334946	-0.005186	0.080000
0.237640	-0.005186	0.081000
0.286293	-0.005186	0.082000
0.334946	-0.005186	0.083000
0.286293	-0.005186	0.084000
0.287453	-0.006901	0.085000
0.286293	-0.005186	0.086000
0.334946	-0.005186	0.087000
0.380118	-0.000040	0.088000
0.281651	0.001675	0.089000
0.331465	-0.000040	0.090000
0.282811	-0.000040	0.091000
0.332625	-0.001755	0.092000
0.281651	0.001675	0.093000
0.334946	-0.005186	0.094000
0.334946	-0.005186	0.095000
0.334946	-0.005186	0.096000
0.283972	-0.001755	0.097000
0.377797	0.003390	0.098000
0.286293	-0.005186	0.099000
0.331465	-0.000040	0.100000
0.286293	-0.005186	0.101000
0.334946	-0.005186	0.102000
0.334946	-0.005186	0.103000
0.334946	-0.005186	0.104000
0.334946	-0.005186	0.105000
0.384760	-0.006901	0.106000
0.286293	-0.005186	0.107000
0.334946	-0.005186	0.108000
0.286293	-0.005186	0.109000
0.334946	-0.005186	0.110000
0.337267	-0.008616	0.111000
0.385920	-0.008616	0.112000
0.383599	-0.005186	0.113000
0.334946	-0.005186	0.114000
0.338427	-0.010331	0.115000
0.282811	-0.000040	0.116000
0.334946	-0.005186	0.117000
0.287453	-0.006901	0.118000
0.287453	-0.006901	0.119000
0.287453	-0.006901	0.120000
0.286293	-0.005186	0.121000
0.337267	-0.008616	0.122000
0.334946	-0.005186	0.123000
0.383599	-0.005186	0.124000
0.383599	-0.005186	0.125000
0.334946	-0.005186	0.126000
0.332625	-0.001755	0.127000
0.334946	-0.005186	0.128000
0.286293	-0.005186	0.129000
0.337267	-0.008616	0.130000
0.334946	-0.005186	0.131000
0.336107	-0.006901	0.132000
0.334946	-0.005186	0.133000
0.287453	-0.006901	0.134000
0.331465	-0.000040	0.135000
0.286293	-0.005186	0.136000
0.334946	-0.005186	0.137000
0.286293	-0.005186	0.138000
0.286293	-0.005186	0.139000
0.383599	-0.005186	0.140000
0.334946	-0.005186	0.141000
0.286293	-0.005186	0.142000
0.383599	-0.005186	0.143000
0.286293	-0.005186	0.144000
0.232998	0.001675	0.145000
0.384760	-0.006901	0.146000
0.334946	-0.005186	0.147000
0.334946	-0.005186	0.148000
0.334946	-0.005186	0.149000
0.434573	-0.008616	0.150000
0.287453	-0.006901	0.151000
0.286293	-0.005186	0.152000
0.287453	-0.006901	0.153000
0.383599	-0.005186	0.154000
0.383599	-0.005186	0.155000
0.286293	-0.005186	0.156000
0.334946	-0.005186	0.157000
0.334946	-0.005186	0.158000
0.334946	-0.005186	0.159000
0.337267	-0.008616	0.160000
0.334946	-0.005186	0.161000
0.286293	-0.005186	0.162000
0.287453	-0.006901	0.163000
0.334946	-0.005186	0.164000
0.383599	-0.005186	0.165000
0.286293	-0.005186	0.166000
0.334946	-0.005186	0.167000
0.336107	-0.006901	0.168000
0.286293	-0.005186	0.169000
0.334946	-0.005186	0.170000
0.286293	-0.005186	0.171000
0.334946	-0.005186	0.172000
0.331465	-0.000040	0.173000
0.286293	-0.005186	0.174000
0.383599	-0.005186	0.175000
0.336107	-0.006901	0.176000
0.334946	-0.005186	0.177000
0.383599	-0.005186	0.178000
0.286293	-0.005186	0.179000
0.287453	-0.006901	0.180000
0.286293	-0.005186	0.181000
0.334946	-0.005186	0.182000
0.330304	0.001675	0.183000
0.283972	-0.001755	0.184000
0.286293	-0.005186	0.185000
0.334946	-0.005186	0.186000
0.286293	-0.005186	0.187000
0.286293	-0.005186	0.188000
0.334946	-0.005186	0.189000
0.334946	-0.005186	0.190000
0.286293	-0.005186	0.191000
0.334946	-0.005186	0.192000
0.331465	-0.000040	0.193000
0.334946	-0.005186	0.194000
0.334946	-0.005186	0.195000
0.286293	-0.005186	0.196000
0.334946	-0.005186	0.197000
0.334946	-0.005186	0.198000
0.334946	-0.005186	0.199000
0.286293	-0.005186	0.200000
0.334946	-0.005186	0.201000
0.334946	-0.005186	0.202000
0.337267	-0.008616	0.203000
0.334946	-0.005186	0.204000
0.286293	-0.005186	0.205000
0.334946	-0.005186	0.206000
0.286293	-0.005186	0.207000
0.334946	-0.005186	0.208000
0.286293	-0.005186	0.209000
0.286293	-0.005186	0.210000
0.334946	-0.005186	0.211000
0.334946	-0.005186	0.212000
0.334946	-0.005186	0.213000
0.334946	-0.005186	0.214000
0.384760	-0.006901	0.215000
0.289774	-0.010331	0.216000
0.336107	-0.006901	0.217000
0.337267	-0.008616	0.218000
0.286293	-0.005186	0.219000
0.334946	-0.005186	0.220000
0.336107	-0.006901	0.221000
0.334946	-0.005186	0.222000
0.337267	-0.008616	0.223000
0.286293	-0.005186	0.224000
0.288614	-0.008616	0.225000
0.286293	-0.005186	0.226000
0.337267	-0.008616	0.227000
0.385920	-0.008616	0.228000
0.383599	-0.005186	0.229000
0.383599	-0.005186	0.230000
0.339588	-0.012046	0.231000
0.383599	-0.005186	0.232000
0.286293	-0.005186	0.233000
0.238800	-0.006901	0.234000
0.334946	-0.005186	0.235000
0.290935	-0.012046	0.236000
0.337267	-0.008616	0.237000
0.338427	-0.010331	0.238000
0.286293	-0.005186	0.239000
0.286293	-0.005186	0.240000
0.334946	-0.005186	0.241000
0.336107	-0.006901	0.242000
0.287453	-0.006901	0.243000
0.336107	-0.006901	0.244000
0.287453	-0.006901	0.245000
0.286293	-0.005186	0.246000
0.384760	-0.006901	0.247000
0.336107	-0.006901	0.248000
0.334946	-0.005186	0.249000
0.334946	-0.005186	0.250000
0.336107	-0.006901	0.251000
0.286293	-0.005186	0.252000
0.334946	-0.005186	0.253000
0.286293	-0.005186	0.254000
0.385920	-0.008616	0.255000
0.334946	-0.005186	0.256000
0.334946	-0.005186	0.257000
0.288614	-0.008616	0.258000
0.384760	-0.006901	0.259000
0.286293	-0.005186	0.260000
0.286293	-0.005186	0.261000
0.334946	-0.005186	0.262000
0.336107	-0.006901	0.263000
0.334946	-0.005186	0.264000
0.286293	-0.005186	0.265000
0.237640	-0.005186	0.266000
0.384760	-0.006901	0.267000
0.334946	-0.005186	0.268000
0.287453	-0.006901	0.269000
0.288614	-0.008616	0.270000
0.334946	-0.005186	0.271000
0.334946	-0.005186	0.272000
0.331465	-0.000040	0.273000
0.334946	-0.005186	0.274000
0.334946	-0.005186	0.275000
0.334946	-0.005186	0.276000
0.334946	-0.005186	0.277000
0.286293	-0.005186	0.278000
0.334946	-0.005186	0.279000
0.286293	-0.005186	0.280000
0.287453	-0.006901	0.281000
0.334946	-0.005186	0.282000
0.334946	-0.005186	0.283000
0.286293	-0.005186	0.284000
0.337267	-0.008616	0.285000
0.287453	-0.006901	0.286000
0.334946	-0.005186	0.287000
0.286293	-0.005186	0.288000
0.334946	-0.005186	0.289000
0.336107	-0.006901	0.290000
0.286293	-0.005186	0.291000
0.334946	-0.005186	0.292000
0.334946	-0.005186	0.293000
0.334946	-0.005186	0.294000
0.383599	-0.005186	0.295000
0.286293	-0.005186	0.296000
0.237640	-0.005186	0.297000
0.288614	-0.008616	0.298000
0.380118	-0.000040	0.299000
0.336107	-0.006901	0.300000
0.334946	-0.005186	0.301000
0.287453	-0.006901	0.302000
0.334946	-0.005186	0.303000
0.286293	-0.005186	0.304000
0.334946	-0.005186	0.305000
0.383599	-0.005186	0.306000
0.334946	-0.005186	0.307000
0.286293	-0.005186	0.308000
0.334946	-0.005186	0.309000
0.334946	-0.005186	0.310000
0.383599	-0.005186	0.311000
