Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
0.000000	-0.034292	5.027334	0.000000	-0.006821	
0.970874	-0.022707	5.027334	0.000971	-0.004517	
1.941748	-0.011122	5.027334	0.001942	-0.002212	
2.912621	-0.022707	5.027334	0.002913	-0.004517	
3.883495	-0.022707	5.016518	0.003883	-0.004526	
4.854369	-0.034292	5.038150	0.004854	-0.006807	
5.825243	-0.034292	5.027334	0.005825	-0.006821	
6.796117	0.000463	5.038150	0.006796	0.000092	
7.766990	-0.011122	5.048966	0.007767	-0.002203	
8.737864	-0.011122	5.048966	0.008738	-0.002203	
9.708738	-0.022707	5.070598	0.009709	-0.004478	
10.679612	-0.011122	5.059782	0.010680	-0.002198	
11.650485	-0.022707	5.070598	0.011650	-0.004478	
12.621359	-0.022707	5.070598	0.012621	-0.004478	
13.592233	-0.011122	5.081415	0.013592	-0.002189	
14.563107	0.012049	5.113863	0.014563	0.002356	
15.533981	0.000463	5.092231	0.015534	0.000091	
16.504854	0.012049	5.092231	0.016505	0.002366	
17.475728	-0.022707	5.092231	0.017476	-0.004459	
18.446602	-0.022707	5.092231	0.018447	-0.004459	
19.417476	0.000463	5.103047	0.019417	0.000091	
20.388350	-0.011122	5.081415	0.020388	-0.002189	
21.359223	-0.022707	5.059782	0.021359	-0.004488	
22.330097	-0.022707	5.081415	0.022330	-0.004469	
23.300971	-0.011122	5.070598	0.023301	-0.002193	
24.271845	-0.022707	5.070598	0.024272	-0.004478	
25.242718	-0.011122	5.081415	0.025243	-0.002189	
26.213592	-0.011122	5.103047	0.026214	-0.002179	
27.184466	-0.011122	5.092231	0.027184	-0.002184	
28.155340	-0.022707	5.103047	0.028155	-0.004450	
29.126214	-0.011122	5.103047	0.029126	-0.002179	
30.097087	-0.011122	5.124679	0.030097	-0.002170	
31.067961	-0.022707	5.113863	0.031068	-0.004440	
32.038835	-0.011122	5.135495	0.032039	-0.002166	
33.009709	0.012049	5.135495	0.033010	0.002346	
33.980583	0.023634	5.135495	0.033981	0.004602	
34.951456	0.012049	5.124679	0.034951	0.002351	
35.922330	0.000463	5.135495	0.035922	0.000090	
36.893204	0.023634	5.157127	0.036893	0.004583	
37.864078	0.023634	5.135495	0.037864	0.004602	
38.834951	0.012049	5.135495	0.038835	0.002346	
39.805825	0.012049	5.146311	0.039806	0.002341	
40.776699	0.000463	5.146311	0.040777	0.000090	
41.747573	0.000463	5.124679	0.041748	0.000090	
42.718447	0.000463	5.124679	0.042718	0.000090	
43.689320	-0.011122	5.124679	0.043689	-0.002170	
44.660194	0.000463	5.146311	0.044660	0.000090	
45.631068	-0.034292	5.157127	0.045631	-0.006650	
46.601942	-0.011122	5.157127	0.046602	-0.002157	
47.572816	-0.022707	5.146311	0.047573	-0.004412	
48.543689	-0.011122	5.146311	0.048544	-0.002161	
49.514563	0.000463	5.146311	0.049515	0.000090	
50.485437	0.000463	5.146311	0.050485	0.000090	
51.456311	0.012049	5.167944	0.051456	0.002331	
52.427184	0.012049	5.146311	0.052427	0.002341	
