Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
0.000000	0.050512	4.997049	0.000000	0.010108	
0.970874	0.038926	5.029497	0.000971	0.007740	
1.941748	0.038926	5.007865	0.001942	0.007773	
2.912621	0.050512	4.997049	0.002913	0.010108	
3.883495	0.050512	5.018681	0.003883	0.010065	
4.854369	0.027341	5.018681	0.004854	0.005448	
5.825243	0.050512	4.997049	0.005825	0.010108	
6.796117	0.015756	5.018681	0.006796	0.003139	
7.766990	0.027341	5.007865	0.007767	0.005460	
8.737864	0.038926	5.018681	0.008738	0.007756	
9.708738	0.015756	5.007865	0.009709	0.003146	
10.679612	0.050512	5.018681	0.010680	0.010065	
11.650485	0.015756	5.029497	0.011650	0.003133	
12.621359	0.027341	5.040313	0.012621	0.005425	
13.592233	0.038926	5.040313	0.013592	0.007723	
14.563107	0.038926	5.061946	0.014563	0.007690	
15.533981	0.038926	5.051129	0.015534	0.007706	
16.504854	0.038926	5.072762	0.016505	0.007674	
17.475728	0.038926	5.083578	0.017476	0.007657	
18.446602	0.027341	5.083578	0.018447	0.005378	
19.417476	0.050512	5.094394	0.019417	0.009915	
20.388350	0.027341	5.094394	0.020388	0.005367	
21.359223	0.038926	5.094394	0.021359	0.007641	
22.330097	0.027341	5.094394	0.022330	0.005367	
23.300971	0.038926	5.083578	0.023301	0.007657	
24.271845	0.038926	5.094394	0.024272	0.007641	
25.242718	0.027341	5.083578	0.025243	0.005378	
26.213592	0.027341	5.072762	0.026214	0.005390	
27.184466	0.027341	5.105210	0.027184	0.005356	
28.155340	-0.007415	5.116026	0.028155	-0.001449	
29.126214	0.004171	5.083578	0.029126	0.000820	
30.097087	0.027341	5.083578	0.030097	0.005378	
31.067961	0.015756	5.105210	0.031068	0.003086	
32.038835	0.027341	5.094394	0.032039	0.005367	
33.009709	0.015756	5.083578	0.033010	0.003099	
33.980583	0.015756	5.105210	0.033981	0.003086	
34.951456	0.038926	5.116026	0.034951	0.007609	
35.922330	0.015756	5.116026	0.035922	0.003080	
36.893204	0.038926	5.126842	0.036893	0.007593	
37.864078	0.062097	5.116026	0.037864	0.012138	
38.834951	0.038926	5.159291	0.038835	0.007545	
39.805825	0.038926	5.148475	0.039806	0.007561	
40.776699	0.050512	5.116026	0.040777	0.009873	
41.747573	0.038926	5.137658	0.041748	0.007577	
42.718447	0.027341	5.159291	0.042718	0.005299	
43.689320	0.038926	5.137658	0.043689	0.007577	
44.660194	0.015756	5.137658	0.044660	0.003067	
45.631068	0.038926	5.148475	0.045631	0.007561	
46.601942	0.027341	5.159291	0.046602	0.005299	
47.572816	0.015756	5.126842	0.047573	0.003073	
48.543689	0.038926	5.159291	0.048544	0.007545	
49.514563	0.015756	5.148475	0.049515	0.003060	
50.485437	0.027341	5.159291	0.050485	0.005299	
51.456311	0.027341	5.137658	0.051456	0.005322	
52.427184	0.038926	5.159291	0.052427	0.007545	
53.398058	0.038926	5.180923	0.053398	0.007513	
54.368932	0.038926	5.159291	0.054369	0.007545	
55.339806	0.050512	5.170107	0.055340	0.009770	
