Essais Frottement unidirectionnel					
					
Conditions de l'essais					
Asservissement	Pas d'asservissement en force				
Vitesse du moteur en X (µm/s )	1000.000000				
Longueur de frottement (µm)	5000.000000				
Vitesse du moteur en Z (µm/s )	50.000000				
Type d 'essai	Force imposée				
Consigne en force (mN)	5.000000				
					
Déplacement en X (µm)	Effort tangentiel (mN)	Effort normal (mN)	Temps (s)	Fx/Fz	
0.000000	-0.015756	4.985800	0.000000	-0.003160	
0.970874	-0.015756	4.996616	0.000971	-0.003153	
1.941748	-0.015756	5.029065	0.001942	-0.003133	
2.912621	-0.004171	5.007432	0.002913	-0.000833	
3.883495	-0.027341	5.029065	0.003883	-0.005437	
4.854369	-0.004171	5.007432	0.004854	-0.000833	
5.825243	-0.015756	5.007432	0.005825	-0.003147	
6.796117	-0.004171	5.029065	0.006796	-0.000829	
7.766990	-0.004171	4.996616	0.007767	-0.000835	
8.737864	0.019000	5.007432	0.008738	0.003794	
9.708738	-0.004171	5.007432	0.009709	-0.000833	
10.679612	-0.004171	4.985800	0.010680	-0.000837	
11.650485	0.007415	4.996616	0.011650	0.001484	
12.621359	-0.004171	4.985800	0.012621	-0.000837	
13.592233	-0.004171	4.985800	0.013592	-0.000837	
14.563107	-0.015756	4.985800	0.014563	-0.003160	
15.533981	0.019000	4.996616	0.015534	0.003803	
16.504854	-0.004171	4.996616	0.016505	-0.000835	
17.475728	-0.015756	4.974984	0.017476	-0.003167	
18.446602	-0.027341	4.985800	0.018447	-0.005484	
19.417476	-0.027341	4.985800	0.019417	-0.005484	
20.388350	-0.027341	5.007432	0.020388	-0.005460	
21.359223	-0.015756	5.007432	0.021359	-0.003147	
22.330097	0.030585	5.007432	0.022330	0.006108	
23.300971	-0.015756	5.007432	0.023301	-0.003147	
24.271845	0.053756	5.029065	0.024272	0.010689	
25.242718	-0.004171	5.029065	0.025243	-0.000829	
26.213592	0.007415	5.018248	0.026214	0.001478	
27.184466	0.007415	5.039881	0.027184	0.001471	
28.155340	0.007415	5.050697	0.028155	0.001468	
29.126214	0.007415	5.039881	0.029126	0.001471	
30.097087	0.007415	5.039881	0.030097	0.001471	
31.067961	-0.004171	5.029065	0.031068	-0.000829	
32.038835	-0.004171	5.029065	0.032039	-0.000829	
33.009709	-0.015756	5.018248	0.033010	-0.003140	
33.980583	-0.027341	5.018248	0.033981	-0.005448	
34.951456	-0.015756	4.996616	0.034951	-0.003153	
35.922330	-0.038926	5.039881	0.035922	-0.007724	
36.893204	-0.027341	5.018248	0.036893	-0.005448	
37.864078	-0.015756	5.039881	0.037864	-0.003126	
38.834951	-0.015756	5.061513	0.038835	-0.003113	
39.805825	-0.027341	5.050697	0.039806	-0.005413	
40.776699	-0.027341	5.072329	0.040777	-0.005390	
41.747573	-0.015756	5.072329	0.041748	-0.003106	
42.718447	0.007415	5.072329	0.042718	0.001462	
43.689320	0.007415	5.061513	0.043689	0.001465	
44.660194	-0.004171	5.083145	0.044660	-0.000820	
45.631068	0.007415	5.072329	0.045631	0.001462	
46.601942	0.007415	5.072329	0.046602	0.001462	
47.572816	-0.004171	5.061513	0.047573	-0.000824	
48.543689	-0.004171	5.072329	0.048544	-0.000822	
49.514563	-0.015756	5.050697	0.049515	-0.003120	
50.485437	-0.015756	5.039881	0.050485	-0.003126	
51.456311	-0.004171	5.029065	0.051456	-0.000829	
52.427184	-0.004171	5.018248	0.052427	-0.000831	
